dataset,n,m,ef_construction,threads,algorithm,n_parts,order,params,monolithic_build_calc,leaf_build_calc,budget_calc,merge_calc,merge_to_budget_ratio,total_calc,total_to_rebuild_ratio,net_advantage_calc,partition_wins
bigann100k,100000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":32,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,39743544,1.4976113458022162,293904235,1.0470454280458288,-13205588,False
bigann100k,100000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":16,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,23677252,0.8922033030727762,277837943,0.9898086291808881,2860704,True
bigann1m,1000000,16,200,1,IGTM,2,balanced,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",3722580816,3446547442,276033374,447264331,1.6203270079943304,3893811773,1.0459979152807195,-171230957,False
bigann1m,1000000,16,200,1,CGTM,2,balanced,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",3722580816,3446547442,276033374,575069565,2.083333463148554,4021617007,1.0803303422493111,-299036191,False
bigann1m,1000000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":10}",3722580816,3446547442,276033374,577916416,2.0936468935817882,4024463858,1.0810950942159478,-301883042,False
bigann1m,1000000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",3722580816,3446547442,276033374,802324194,2.906620248028414,4248871636,1.141377943425151,-526290820,False
bigann1m,1000000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,276033374,101604915,0.3680892405423411,3548152357,0.9531431370810567,174428459,True
bigann1m,1000000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,276033374,193966622,0.7026926461435783,3640514064,0.9779543397292358,82066752,True
bigann1m,1000000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,276033374,346703546,1.2560203897663476,3793250988,1.0189841874476582,-70670172,False
bigann1m,1000000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,276033374,569996379,2.0649545768331623,4016543821,1.0789675280484226,-293963005,False
bigann1m,1000000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,276033374,1990723004,7.211892443121751,5437270446,1.460618510316849,-1714689630,False
