dataset,n,dim,builder,algorithm,n_parts,m,ef_construction,threads,params,mono_build_calc,partition_build_calc,merge_calc,partition_total_calc,build_saving_calc,net_advantage_calc,merge_to_budget_ratio,partition_wins,run_key,build_saving_per_point,merge_per_point,net_advantage_per_point
bigann1m,1000000,128,hnswmerger,IGTM,2,16,64,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",1577688044,1451271692,396645671,1847917363,126416352,-270229319,3.13761364510819,False,083abcf1d66b,126.416352,396.645671,-270.229319
bigann1m,1000000,128,hnswmerger,SIGM,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",1577688044,1451271692,846167188,2297438880,126416352,-719750836,6.69349474662898,False,29179fa7845d,126.416352,846.167188,-719.750836
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",1577688044,1451271692,169951886,1621223578,126416352,-43535534,1.3443821413229833,False,1a9fe89904da,126.416352,169.951886,-43.535534
bigann1m,1000000,128,hnswmerger,CGTM,2,16,200,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",3722580816,3446547442,575069565,4021617007,276033374,-299036191,2.083333463148554,False,29c4ff548e6d,276.033374,575.069565,-299.036191
bigann1m,1000000,128,hnswmerger,IGTM,2,16,200,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",3722580816,3446547442,447264331,3893811773,276033374,-171230957,1.6203270079943304,False,cc59553d2d51,276.033374,447.264331,-171.230957
bigann1m,1000000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":10}",3722580816,3446547442,577916416,4024463858,276033374,-301883042,2.0936468935817882,False,9eb587f50cee,276.033374,577.916416,-301.883042
bigann1m,1000000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",3722580816,3446547442,802324194,4248871636,276033374,-526290820,2.906620248028414,False,9cf358d1bfab,276.033374,802.324194,-526.29082
bigann1m,1000000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,1990723004,5437270446,276033374,-1714689630,7.211892443121751,False,b57428a5358e,276.033374,1990.723004,-1714.68963
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,101604915,3548152357,276033374,174428459,0.3680892405423411,True,cb50040f9bbe,276.033374,101.604915,174.428459
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,346703546,3793250988,276033374,-70670172,1.2560203897663476,False,6ca26c224a2c,276.033374,346.703546,-70.670172
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,569996379,4016543821,276033374,-293963005,2.0649545768331623,False,87b5458a40c3,276.033374,569.996379,-293.963005
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",3722580816,3446547442,193966622,3640514064,276033374,82066752,0.7026926461435783,True,5daad962da48,276.033374,193.966622,82.066752
